DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/urls/conf.py first seen with mtime 1709743567.200104
DEBUG 2024-03-12 19:33:27,235 autoreload File /usr/lib/python3.11/wsgiref/headers.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/template/loaders/cached.py first seen with mtime 1709743567.1934373
DEBUG 2024-03-12 19:33:27,235 autoreload File /usr/lib/python3.11/lib-dynload/_zoneinfo.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/core/checks/__init__.py first seen with mtime 1709743567.130104
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/core/checks/files.py first seen with mtime 1709743567.130104
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/backends/base/client.py first seen with mtime 1709743567.1467707
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/utils/numberformat.py first seen with mtime 1709743567.206771
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/pkg_resources/_vendor/pyparsing/results.py first seen with mtime 1709743542.343433
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/utils.py first seen with mtime 1709743567.1467707
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/utils/translation/reloader.py first seen with mtime 1709743567.206771
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/pkg_resources/_vendor/packaging/utils.py first seen with mtime 1709743542.3400996
DEBUG 2024-03-12 19:33:27,235 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/utils/timesince.py first seen with mtime 1709743567.206771
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/core/serializers/base.py first seen with mtime 1709743567.1434374
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/pkg_resources/_vendor/jaraco/functools.py first seen with mtime 1709743542.3367662
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/core/files/storage/base.py first seen with mtime 1709743567.1367707
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1709743567.0534375
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/backends/sqlite3/_functions.py first seen with mtime 1709743567.1567707
DEBUG 2024-03-12 19:33:27,236 autoreload File /usr/lib/python3.11/subprocess.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/utils/dates.py first seen with mtime 1709743567.2034376
DEBUG 2024-03-12 19:33:27,236 autoreload File /usr/lib/python3.11/lib-dynload/_hashlib.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
